Referral_Date,Contract_Detention,Crisis_Intervention,Formal,Interim_Permanent_Transfer,Other_Administrative_Referral,Paper_Complaint,Paper_Formalized
2015-01-31,3.0,8.0,291.0,14.0,34.0,38.0,156.0
2015-02-28,2.0,9.0,234.0,14.0,27.0,36.0,142.0
2015-03-31,2.0,11.0,321.0,12.0,23.0,40.0,126.0
2015-04-30,3.0,15.0,316.0,11.0,37.0,36.0,198.0
2015-05-31,3.0,17.0,311.0,8.0,25.0,35.0,128.0
2015-06-30,1.0,11.0,217.0,16.0,26.0,56.0,167.0
2015-07-31,5.0,16.0,197.0,9.0,30.0,36.0,170.0
2015-08-31,2.0,11.0,170.0,8.0,85.0,34.0,185.0
2015-09-30,6.0,21.0,201.0,7.0,38.0,30.0,179.0
2015-10-31,5.0,15.0,266.0,18.0,25.0,57.0,155.0
2015-11-30,2.0,18.0,223.0,9.0,17.0,40.0,151.0
2015-12-31,2.0,20.0,185.0,9.0,24.0,38.0,117.0
2016-01-31,3.0,9.0,210.0,10.0,108.0,108.0,188.0
2016-02-29,2.0,22.0,199.0,9.0,51.0,62.0,149.0
2016-03-31,1.0,17.0,213.0,3.0,38.0,54.0,176.0
2016-04-30,1.0,22.0,211.0,10.0,34.0,40.0,159.0
2016-05-31,1.0,17.0,239.0,10.0,34.0,61.0,167.0
2016-06-30,4.0,11.0,169.0,3.0,30.0,50.0,170.0
2016-07-31,2.0,8.0,129.0,8.0,29.0,28.0,138.0
2016-08-31,7.0,8.0,149.0,10.0,24.0,47.0,152.0
2016-09-30,24.0,16.0,192.0,5.0,38.0,31.0,120.0
2016-10-31,20.0,14.0,209.0,6.0,24.0,55.0,114.0
2016-11-30,10.0,16.0,202.0,9.0,37.0,52.0,124.0
2016-12-31,12.0,20.0,173.0,3.0,29.0,32.0,127.0
2017-01-31,15.0,20.0,193.0,7.0,45.0,52.0,142.0
2017-02-28,20.0,25.0,201.0,8.0,35.0,23.0,172.0
2017-03-31,23.0,13.0,214.0,12.0,34.0,51.0,192.0
2017-04-30,24.0,15.0,220.0,14.0,43.0,60.0,141.0
2017-05-31,15.0,19.0,249.0,8.0,61.0,42.0,194.0
2017-06-30,22.0,8.0,162.0,6.0,57.0,40.0,163.0
2017-07-31,31.0,8.0,153.0,8.0,36.0,23.0,116.0
2017-08-31,28.0,10.0,137.0,5.0,36.0,37.0,108.0
2017-09-30,31.0,20.0,172.0,10.0,32.0,45.0,134.0
2017-10-31,19.0,28.0,194.0,12.0,33.0,32.0,131.0
2017-11-30,20.0,16.0,223.0,7.0,33.0,41.0,140.0
2017-12-31,20.0,12.0,190.0,19.0,43.0,30.0,107.0
2018-01-31,29.0,20.0,197.0,15.0,38.0,27.0,147.0
2018-02-28,27.0,13.0,200.0,5.0,23.0,23.0,125.0
2018-03-31,22.0,27.0,202.0,11.0,37.0,58.0,139.0
2018-04-30,27.0,24.0,181.0,10.0,49.0,58.0,156.0
2018-05-31,19.0,18.0,194.0,7.0,41.0,49.0,164.0
2018-06-30,24.0,14.0,134.0,6.0,36.0,36.0,107.0
2018-07-31,23.0,10.0,130.0,10.0,26.0,42.0,114.0
2018-08-31,13.0,8.0,153.0,6.0,34.0,38.0,171.0
2018-09-30,19.0,14.0,206.0,8.0,28.0,47.0,126.0
2018-10-31,27.0,15.0,232.0,13.0,43.0,38.0,116.0
2018-11-30,31.0,9.0,186.0,4.0,25.0,42.0,129.0
2018-12-31,18.0,15.0,190.0,6.0,35.0,33.0,112.0
2019-01-31,26.0,30.0,207.0,12.0,34.0,49.0,162.0
2019-02-28,36.0,14.0,180.0,9.0,39.0,40.0,155.0
2019-03-31,31.0,19.0,175.0,10.0,39.0,41.0,152.0
2019-04-30,20.0,13.0,258.0,7.0,44.0,68.0,143.0
2019-05-31,33.0,17.0,223.0,12.0,34.0,58.0,152.0
2019-06-30,24.0,9.0,141.0,6.0,25.0,54.0,125.0
2019-07-31,26.0,7.0,129.0,7.0,52.0,37.0,118.0
2019-08-31,15.0,14.0,150.0,17.0,24.0,52.0,101.0
2019-09-30,36.0,16.0,193.0,7.0,42.0,72.0,125.0
2019-10-31,48.0,17.0,192.0,13.0,34.0,74.0,112.0
2019-11-30,33.0,9.0,207.0,5.0,23.0,64.0,127.0
2019-12-31,27.0,6.0,186.0,14.0,31.0,61.0,110.0
2020-01-31,32.0,12.0,204.0,7.0,29.0,59.0,117.0
2020-02-29,26.0,18.0,215.0,12.0,34.0,81.0,121.0
2020-03-31,20.0,9.0,169.0,7.0,20.0,87.0,76.0
2020-04-30,7.0,8.0,102.0,0.0,2.0,51.0,42.0
2020-05-31,2.0,10.0,85.0,0.0,12.0,40.0,32.0
2020-06-30,1.0,1.0,88.0,0.0,10.0,31.0,45.0
2020-07-31,4.0,0.0,76.0,9.0,10.0,26.0,48.0
2020-08-31,5.0,2.0,69.0,10.0,8.0,57.0,53.0
2020-09-30,6.0,1.0,99.0,9.0,19.0,38.0,75.0
2020-10-31,4.0,1.0,112.0,2.0,24.0,44.0,51.0
2020-11-30,4.0,0.0,101.0,6.0,17.0,43.0,72.0
2020-12-31,2.0,0.0,89.0,13.0,14.0,34.0,74.0
2021-01-31,7.0,0.0,91.0,4.0,22.0,61.0,77.0
2021-02-28,1.0,0.0,88.0,6.0,25.0,42.0,59.0
2021-03-31,6.0,0.0,85.0,13.0,27.0,49.0,69.0
2021-04-30,7.0,1.0,112.0,11.0,25.0,53.0,83.0
2021-05-31,14.0,0.0,110.0,8.0,31.0,39.0,70.0
2021-06-30,4.0,0.0,104.0,7.0,23.0,42.0,75.0
2021-07-31,7.0,0.0,89.0,9.0,22.0,28.0,49.0
2021-08-31,5.0,0.0,101.0,15.0,14.0,53.0,72.0
2021-09-30,2.0,1.0,142.0,7.0,15.0,106.0,56.0
